,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,State,Brand
5063,"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),8456,8547,Tamil Nadu,NIT
5064,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8458,8853,Punjab,NIT
5065,National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,OBC-NCL,Gender-Neutral,8461,8527,Bihar,NIT
5066,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),8463,8463,Punjab,NIT
5067,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8464,9399,Tamil Nadu,IIIT
5068,Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),8473,8473,Rajasthan,NIT
5069,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8474,10045,Madhya Pradesh,IIIT
5070,"Gati Shakti Vishwavidyalaya, Vadodara","B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics) (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8476,11297,Gujarat,GFTI
5071,"National Institute of Technology, Silchar","Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),8492,9781,Assam,NIT
5072,"National Institute of Electronics and Information Technology, Patna (Bihar)","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8502,11772,Bihar,GFTI
5073,Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8505,10236,Uttar Pradesh,NIT
5074,Indian Institute of Information Technology Surat,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,8507,12176,Gujarat,IIIT
5075,"Birla Institute of Technology, Patna Off-Campus","Mathematics and Computing (5 Years, Integrated Master of Science)",AI,EWS,Gender-Neutral,8510,8515,Bihar,GFTI
5076,"National Institute of Technology, Kurukshetra","Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,OBC-NCL,Gender-Neutral,8521,8923,Haryana,NIT
5077,National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),8524,10969,Chhattisgarh,NIT
5078,"National Institute of Technology, Warangal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8525,9469,Telangana,NIT
5079,Indian Institute of Information Technology (IIIT) Pune,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),8528,9859,Maharashtra,IIIT
5080,"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),8531,8531,Haryana,NIT
5081,"National Institute of Technology, Kurukshetra","Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,OBC-NCL,Gender-Neutral,8532,8532,Haryana,NIT
5082,"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),8533,8533,Jammu & Kashmir,NIT
5083,"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8536,8536,Tamil Nadu,NIT
5084,"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8539,10251,Andhra Pradesh,NIT
5085,National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),8540,8540,Bihar,NIT
5086,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,8546,9063,Nagaland,NIT
